SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Condo/Co-op,3208 Cole Ave #1210,Dallas,75204,284000,2,2,Bois Du Chene,1048,61768,1984,127,271,348,Active,NTREIS
MLS Listing,Condo/Co-op,8616 Turtle Creek Blvd #206,Dallas,75225,284500,1,1.5,Sorrento Condo,1050,61289,2006,143,271,536,Active,NTREIS
MLS Listing,Single Family Residential,1923 Lansford Ave,Dallas,75224,284888,2,1,Elmwood 02,1325,6839,1950,35,215,,Active,NTREIS
MLS Listing,Vacant Land,1135 Kings Hwy,Dallas,75208,284900,0,,Oak Cliff Annex,,7318,,24,,,Active,NTREIS
MLS Listing,Single Family Residential,5250 Freestone Cir,Dallas,75227,284900,4,2,Buckner Terrace,2706,9017,1984,133,105,,Active,NTREIS
MLS Listing,Condo/Co-op,1122 Jackson St #512,Dallas,75202,285000,1,1,Soco Urban Loft Condo,1097,,1925,11,260,427,Active,NTREIS
MLS Listing,Single Family Residential,13639 Willow Bend Rd,Dallas,75240,285000,3,2,Spring Valley Park 03,1681,8494,1969,2,170,,Active,NTREIS
MLS Listing,Single Family Residential,17924 Hillcrest Rd,Dallas,75252,285000,3,2,Preston Road Highlands,1756,6970,1984,3,162,,Active,NTREIS
MLS Listing,Single Family Residential,2104 Azure Pointe,Richardson,75080,285000,2,2,Lake Park Estates 01 & Univ Wrld R,1485,1307,2006,16,192,217,Active,NTREIS
MLS Listing,Condo/Co-op,3100 Cole Ave #201,Dallas,75204,285000,2,2,Sutton Place Condos,1150,42602,1984,45,248,457,Active,NTREIS
MLS Listing,Condo/Co-op,3225 Turtle Creek Blvd #420,Dallas,75219,285000,2,2,Renaissance On Turtle Creek Condominiums,1154,154202,1998,11,247,669,Active,NTREIS
MLS Listing,Single Family Residential,3755 La Joya Dr,Dallas,75220,285000,3,2,North Davilla Drive Estates,1195,8276,1952,43,238,,Active,NTREIS
MLS Listing,Single Family Residential,3850 Davila Dr,Dallas,75220,285000,3,2,Ridgecrest Village,1172,8364,1951,64,243,,Active,NTREIS
MLS Listing,Condo/Co-op,4040 AVONDALE #303,Dallas,75219,285000,2,2,AVONDALE GARDENS,1262,,1985,3,226,350,Active,NTREIS
MLS Listing,Single Family Residential,630 W Neely St,Dallas,75208,285000,3,2,Terrace Gardens Rev,1415,5358,2004,2,201,,Active,NTREIS
MLS Listing,Single Family Residential,7166 Elliott Dr,Dallas,75227,285000,4,3,Buckner Terrace,2890,8407,1979,156,99,,Active,NTREIS
MLS Listing,Single Family Residential,8064 Vista Hill Ln,Dallas,75249,285000,4,2.5,Mountain Hollow Ph 01,3141,7579,2012,9,91,23,Active,NTREIS
MLS Listing,Single Family Residential,9301 Woodlake Dr,Rowlett,75088,285000,4,3,Lakeshore Park Estates,2320,7057,1998,79,123,4,Active,NTREIS
MLS Listing,Townhouse,3817 Rawlins St #106,Dallas,75219,287500,2,2.5,Tall Tree Condo,1121,51009,1980,200,256,269,Active,NTREIS
MLS Listing,Single Family Residential,3217 Wake St,Dallas,75212,288000,2,1,Heights Macarthur,922,5401,1952,21,312,,Active,NTREIS
MLS Listing,Single Family Residential,3606 Marsh Lane Pl,Dallas,75220,288000,4,2.5,Brownwood Park,2156,7187,1954,19,134,,Active,NTREIS
MLS Listing,Single Family Residential,102 N Hampton Rd,Dallas,75208,289000,3,2,Dean & Beckers Add,1368,5445,1950,4,211,,Active,NTREIS
MLS Listing,Single Family Residential,10229 Lanshire Dr,Dallas,75238,289000,3,1.5,Lake Highlands Estates 9,1244,7667,1955,68,232,,Active,NTREIS
MLS Listing,Single Family Residential,1602 Lebanon Ave,Dallas,75208,289000,4,2,Guerrants Suburban,1609,8102,1963,31,180,,Active,NTREIS
MLS Listing,Single Family Residential,1927 Berkley Ave,Dallas,75224,289000,3,2,Elmwood Add,1921,6970,1951,40,150,,Active,NTREIS
MLS Listing,Single Family Residential,2755 Gladstone Dr,Dallas,75211,289000,3,2,Sunset Summit,1767,7492,1923,46,164,,Active,NTREIS
